id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
1,Chia And Blackberry Pudding,Breakfast Recipes,45.0,,0.0,,Easy,2.0,0.25,0.5,1.0,1.0,1.0,,,,,,cup chia seeds,"cup blackberries, fresh",teaspoon liquid sweetener,"cup coconut milk, full fat and unsweetened",teaspoon vanilla extract,,,,,,"Take the vanilla ,liquid sweetener and coconut milk and add to blender",Process until thick,Add in blackberries and process until smooth,Divide the mixture between cups and chill for 30 minutes,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Chia_And_Blackberry_Pudding-Chia_And_Blackberry_Pudding.jpg,True,437.0,38.0,8.0,8.0
2,Cinnamon Chiller,Breakfast Recipes,10.0,,0.0,,Easy,1.0,1.0,2.0,0.5,0.25,1.0,1.0,,,,,cup unsweetened almond milk,tablespoons vanilla protein powder,teaspoon cinnamon,teaspoon vanilla extract,tablespoon chia seeds,cup ice cubs,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cinnamon_Chiller-Cinnamon_Chiller.jpg,True,145.0,4.0,1.6,0.6
3,Cheesy Low-Carb Omelet,Breakfast Recipes,5.0,,5.0,,Easy,5.0,2.0,1.0,1.0,3.0,5.0,5.0,2.0,,,,whole eggs,tablespoon water,tablespoon butter,thin slices salami,fresh basil leaves,"thin slices, fresh ripe tomatoes",ounces fresh mozarella cheese,Salt and pepper as needed,,,Take a small bowl and whisk in eggs and water,"Take a non-stick Saute pan and place it over medium heat, add butter and let it melt",Pour egg mix and cook for 30 seconds,"Spread salami slices on half of egg mix and top with cheese, tomatoes, basil slices",Season with salt and pepper according to your taste,Cook for 2 minutes and fold the egg with the empty half,Cover and cook on LOW for 1 minute,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheesy_Low-Carb_Omelet-Cheesy_Low-Carb_Omelet.jpg,True,451.0,36.0,3.0,33.0
4,Angel Eggs,Breakfast Recipes,30.0,,0.0,,Easy,2.0,4.0,1.0,2.0,0.125,,,,,,,"eggs, hardboiled and peeled","tablespoon vanilla bean sweetener, sugar free",tablespoons Keto-Friendly mayonnaise,teaspoon cinnamon,,,,,,,Halve the boiled eggs and scoop out the yolk,Place in a bowl,Add egg whites on a plate,"Add sweetener, cinnamon, mayo to the egg yolks and mash them well",Transfer yolk mix to white halves,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Angel_Eggs-Angel_Eggs.jpg,True,184.0,15.0,1.0,12.0
5,Roasted Onions And Green Beans,Breakfast Recipes,10.0,,15.0,,Easy,6.0,1.0,0.5,2.0,1.75,0.5,,,,,,"yellow onion, sliced into rings",teaspoon onion powder,tablespoons coconut flour,"pounds fresh green beans, trimmed and chopped",tablespoon salt,,,,,,Take a large bowl and mix salt with onion powder and coconut flour,Add onion rings,Mix well to coat,"Spread the rings in the baking sheet, lined with parchment paper",Drizzled with some oil,Bake for 10 minutes at 400 Fahrenheit,Parboil the green beans for 3 to 5 minutes in the boiling water,Drain it and serve the beans with baked onion rings,Serve warm and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Roasted_Onions_And_Green_Beans-Roasted_Onions_And_Green_Beans.jpg,True,214.0,19.4,3.7,8.3
6,Denver Omelete,Breakfast Recipes,4.0,,1.0,,Medium,1.0,2.0,0.25,0.25,0.25,2.0,0.25,,,,,tablespoons butter,"cup onion, chopped","cup green bell pepper, diced","cup grape tomatoes, halved",whole eggs,"cup ham, chopped",,,,,Take a skillet and place it over medium heat,Add butter and wait until the butter melts,Add onion and bell pepper and Sauté for a few minutes,Take a bowl and whip eggs,dd the remaining ingredients and stir,"Add Sautéed onion and pepper, stir",Microwave the egg mix for 1 minute,Serve hot!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Denver_Omelete-Denver_Omelete.jpg,True,605.0,46.0,6.0,39.0
7,Hungarian Keto Porridge,Breakfast Recipes,10.0,,10.0,,Easy,2.0,1.0,1.0,0.75,0.5,1.0,1.0,,,,,tablespoon chia seeds,tablespoon ground flaxseed,cup coconut cream,cup water,teaspoon vanilla extract,tablespoon butter,,,,,"Add chia seeds, coconut cream, flaxseed, water and vanilla to a small pot",Stir and let it sit for 5 minutes,Add butter and place pot over low heat,Keep stirring as butter melts,"Once porridge is hot/not boiling, pour into bowl",Enjoy!,Add a few berries or a dash of cream for extra flavor,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hungarian_Keto_Porridge-Hungarian_Keto_Porridge.jpg,True,410.0,38.0,10.0,6.0
8,Scrambled Pesto Eggs,Breakfast Recipes,5.0,,5.0,,Easy,4.0,3.0,1.0,1.0,2.0,,,,,,,large whole eggs,tablespoon butter,tablespoon pesto,tablespoons creamed coconut milk,Salt and pepper as needed,,,,,,Take a bowl and crack open your egg,Season with a pinch of salt and pepper,Pour eggs into a pan,Add butter and introduce heat,Cook on low heat and gently add pesto,"Once the egg is cooked and scrambled, remove heat",Spoon in coconut cream and mix well,Turn on heat and cook on LOW for a while until you have a creamy texture,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Scrambled_Pesto_Eggs-Scrambled_Pesto_Eggs.jpg,True,467.0,41.0,3.0,20.0
9,Vanilla Hemp Drink,Breakfast Recipes,10.0,,0.0,,Easy,1.0,1.0,1.0,1.5,0.5,4.0,1.0,1.0,,,,cup water,"cup unsweetened hemp milk, vanilla","tablespoons coconut oil, unrefined","cup frozen blueberries, mixed","cup leafy greens, kale and spinach",tablespoons flaxseeds,tablespoons almond butter,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Vanilla_Hemp_Drink-Vanilla_Hemp_Drink.jpg,True,250.0,20.0,10.0,7.0
10,Pepperoni Omelet,Breakfast Recipes,5.0,,20.0,,Easy,4.0,6.0,15.0,2.0,,2.0,,,,,,eggs,pepperoni slices,teaspoons coconut cream,"Salt and freshly ground black pepper , to taste",tablespoons butter,,,,,,Take a bowl and whisk eggs with all the remaining ingredients in it,Then take a skillet and heat butter,Pour the ¼ of egg mixture into your skillet,"After that, cook for 2 minutes per side",Repeat to use the entire batter,Serve warm and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pepperoni_Omelet-Pepperoni_Omelet.jpg,True,141.0,11.5,0.6,8.9
